"POP_COMP","Population Component","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Births","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",98582,,
"1","Births","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",97930,,
"1","Births","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",99673,,
"2","Deaths","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",53845,,
"2","Deaths","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",54676,,
"2","Deaths","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",54116,,
"3","Natural Increase","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",44737,,
"3","Natural Increase","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",43254,,
"3","Natural Increase","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",45557,,
"4","Internal Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",94468,,
"4","Internal Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",96034,,
"4","Internal Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",97727,,
"5","Internal Departures","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",109629,,
"5","Internal Departures","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",117706,,
"5","Internal Departures","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",119790,,
"6","Net Internal Migration","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",-15161,,
"6","Net Internal Migration","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",-21672,,
"6","Net Internal Migration","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",-22063,,
"7","Overseas Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",198296,,
"7","Overseas Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",191451,,
"7","Overseas Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",190692,,
"8","Overseas Departures","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",92794,,
"8","Overseas Departures","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",100801,,
"8","Overseas Departures","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",104537,,
"9","Net Overseas Migration","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",105502,,
"9","Net Overseas Migration","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",90650,,
"9","Net Overseas Migration","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",86155,,
"10","Estimated Resident Population","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",7867936,,
"10","Estimated Resident Population","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",7980168,,
"10","Estimated Resident Population","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",8089817,,
"1","Births","STE","States and Territories","2","Victoria","A","Annual","2017","2017",78295,,
"1","Births","STE","States and Territories","2","Victoria","A","Annual","2018","2018",78231,,
"1","Births","STE","States and Territories","2","Victoria","A","Annual","2019","2019",76496,,
"2","Deaths","STE","States and Territories","2","Victoria","A","Annual","2017","2017",39297,,
"2","Deaths","STE","States and Territories","2","Victoria","A","Annual","2018","2018",39102,,
"2","Deaths","STE","States and Territories","2","Victoria","A","Annual","2019","2019",39153,,
"3","Natural Increase","STE","States and Territories","2","Victoria","A","Annual","2017","2017",38998,,
"3","Natural Increase","STE","States and Territories","2","Victoria","A","Annual","2018","2018",39129,,
"3","Natural Increase","STE","States and Territories","2","Victoria","A","Annual","2019","2019",37343,,
"4","Internal Arrivals","STE","States and Territories","2","Victoria","A","Annual","2017","2017",86650,,
"4","Internal Arrivals","STE","States and Territories","2","Victoria","A","Annual","2018","2018",88561,,
"4","Internal Arrivals","STE","States and Territories","2","Victoria","A","Annual","2019","2019",90071,,
"5","Internal Departures","STE","States and Territories","2","Victoria","A","Annual","2017","2017",68457,,
"5","Internal Departures","STE","States and Territories","2","Victoria","A","Annual","2018","2018",74245,,
"5","Internal Departures","STE","States and Territories","2","Victoria","A","Annual","2019","2019",77873,,
"6","Net Internal Migration","STE","States and Territories","2","Victoria","A","Annual","2017","2017",18193,,
"6","Net Internal Migration","STE","States and Territories","2","Victoria","A","Annual","2018","2018",14316,,
"6","Net Internal Migration","STE","States and Territories","2","Victoria","A","Annual","2019","2019",12198,,
"7","Overseas Arrivals","STE","States and Territories","2","Victoria","A","Annual","2017","2017",159626,,
"7","Overseas Arrivals","STE","States and Territories","2","Victoria","A","Annual","2018","2018",161166,,
"7","Overseas Arrivals","STE","States and Territories","2","Victoria","A","Annual","2019","2019",165043,,
"8","Overseas Departures","STE","States and Territories","2","Victoria","A","Annual","2017","2017",68383,,
"8","Overseas Departures","STE","States and Territories","2","Victoria","A","Annual","2018","2018",74198,,
"8","Overseas Departures","STE","States and Territories","2","Victoria","A","Annual","2019","2019",80564,,
"9","Net Overseas Migration","STE","States and Territories","2","Victoria","A","Annual","2017","2017",91243,,
"9","Net Overseas Migration","STE","States and Territories","2","Victoria","A","Annual","2018","2018",86968,,
"9","Net Overseas Migration","STE","States and Territories","2","Victoria","A","Annual","2019","2019",84479,,
"10","Estimated Resident Population","STE","States and Territories","2","Victoria","A","Annual","2017","2017",6321606,,
"10","Estimated Resident Population","STE","States and Territories","2","Victoria","A","Annual","2018","2018",6462019,,
"10","Estimated Resident Population","STE","States and Territories","2","Victoria","A","Annual","2019","2019",6596039,,
"1","Births","STE","States and Territories","3","Queensland","A","Annual","2017","2017",61298,,
"1","Births","STE","States and Territories","3","Queensland","A","Annual","2018","2018",60951,,
"1","Births","STE","States and Territories","3","Queensland","A","Annual","2019","2019",60629,,
"2","Deaths","STE","States and Territories","3","Queensland","A","Annual","2017","2017",30691,,
"2","Deaths","STE","States and Territories","3","Queensland","A","Annual","2018","2018",31595,,
"2","Deaths","STE","States and Territories","3","Queensland","A","Annual","2019","2019",30747,,
"3","Natural Increase","STE","States and Territories","3","Queensland","A","Annual","2017","2017",30607,,
"3","Natural Increase","STE","States and Territories","3","Queensland","A","Annual","2018","2018",29356,,
"3","Natural Increase","STE","States and Territories","3","Queensland","A","Annual","2019","2019",29882,,
"4","Internal Arrivals","STE","States and Territories","3","Queensland","A","Annual","2017","2017",98413,,
"4","Internal Arrivals","STE","States and Territories","3","Queensland","A","Annual","2018","2018",105938,,
"4","Internal Arrivals","STE","States and Territories","3","Queensland","A","Annual","2019","2019",108019,,
"5","Internal Departures","STE","States and Territories","3","Queensland","A","Annual","2017","2017",80618,,
"5","Internal Departures","STE","States and Territories","3","Queensland","A","Annual","2018","2018",81240,,
"5","Internal Departures","STE","States and Territories","3","Queensland","A","Annual","2019","2019",85188,,
"6","Net Internal Migration","STE","States and Territories","3","Queensland","A","Annual","2017","2017",17795,,
"6","Net Internal Migration","STE","States and Territories","3","Queensland","A","Annual","2018","2018",24698,,
"6","Net Internal Migration","STE","States and Territories","3","Queensland","A","Annual","2019","2019",22831,,
"7","Overseas Arrivals","STE","States and Territories","3","Queensland","A","Annual","2017","2017",87821,,
"7","Overseas Arrivals","STE","States and Territories","3","Queensland","A","Annual","2018","2018",85440,,
"7","Overseas Arrivals","STE","States and Territories","3","Queensland","A","Annual","2019","2019",89995,,
"8","Overseas Departures","STE","States and Territories","3","Queensland","A","Annual","2017","2017",53746,,
"8","Overseas Departures","STE","States and Territories","3","Queensland","A","Annual","2018","2018",57699,,
